IR Value,Red Value,Heart Rate,SpO2
5622,6383,,
5695,6432,,
5715,6433,,
5753,6439,,
5764,6426,,
5830,6473,,
6023,6652,,
6234,6849,,
6234,6849,,
6506,7126,,
6725,7365,,
6845,7498,,
6845,7516,,
6754,7449,,
6622,7363,,
6542,7389,,
6874,7953,,
8198,9638,,
9832,11647,,
10711,12605,,
10878,12793,,
10891,12802,,
10521,12381,,
9834,11529,,
9703,11383,,
9746,11502,,
9495,11275,,
9048,10793,,
8619,10313,,
8507,10194,,
8469,10150,,
8794,10497,,
9489,11238,,
9361,11001,,
9245,10851,,
8390,9881,,
6559,7699,,
4494,5419,,
2496,3169,,
1803,2389,,
1639,2240,,
1562,2169,,
1570,2186,,
1517,2130,,
1558,2120,,
1527,2136,,
1505,2121,,
1556,2166,,
1511,2127,,
1558,2119,,
1527,2137,,
1507,2119,,
1562,2160,,
1512,2127,,
1534,2119,,
1523,2152,,
1507,2120,,
1507,2120,,
1560,2152,,
1511,2128,,
1506,2117,,
1521,2162,,
1509,2121,,
1555,2154,,
1510,2130,,
1503,2114,,
1523,2157,,
1504,2116,,
1543,2158,,
1509,2134,,
1501,2110,,
1527,2152,,
1503,2115,,
1534,2163,,
1511,2136,,
1503,2113,,
1536,2148,,
1502,2113,,
1529,2161,,
1512,2132,,
1502,2112,,
1543,2139,,
1505,2117,,
1540,2165,,
1517,2132,,
1502,2112,,
1544,2145,,
1502,2116,,
1550,2165,,
1520,2130,,
1503,2113,,
1535,2153,,
1503,2116,,
1551,2161,,
1520,2136,,
1502,2112,,
1526,2154,,
1505,2118,,
1552,2161,,
1519,2140,,
1504,2114,,
1527,2154,,
1506,2119,,
1551,2159,,
1517,2139,,
1502,2112,,
1535,2155,,
1502,2116,,
1548,2159,,
1520,2137,,
1501,2112,,
1541,2156,,
1506,2115,,
1550,2163,,
1525,2139,,
1502,2110,,
1538,2159,,
1538,2159,,
1503,2115,,
1541,2153,,
1520,2128,,
1498,2106,,
1527,2153,,
1505,2133,,
1529,2135,,
1515,2125,,
1498,2107,,
1530,2151,,
1503,2115,,
1531,2116,,
1516,2122,,
1499,2108,,
1532,2146,,
1504,2116,,
1541,2108,,
1520,2126,,
1500,2110,,
1547,2152,,
1506,2118,,
1542,2107,,
1520,2136,,
1505,2116,,
1562,2153,,
1533,2150,,
1578,2190,,
1547,2180,,
1538,2156,,
1592,2192,,
1560,2188,,
1590,2223,,
1627,2287,,
1605,2234,,
1621,2237,,
1568,2192,,
1540,2155,,
1547,2181,,
1518,2131,,
1546,2166,,
1519,2141,,
1507,2116,,
1532,2151,,
1505,2113,,
1530,2163,,
1511,2132,,
1501,2110,,
1541,2140,,
1541,2140,,
1505,2114,,
1541,2170,,
1522,2135,,
1521,2127,,
1565,2161,,
1543,2154,,
1594,2209,,
1605,2213,,
1619,2225,,
1675,2282,,
1671,2273,,
1732,2324,,
1756,2348,,
1803,2389,,
1949,2547,,
2207,2813,,
2788,3392,,
3131,3761,,
2841,3472,,
2694,3328,,
2645,3272,,
2667,3294,,
2688,3328,,
2712,3349,,
2761,3406,,
2747,3390,,
2795,3438,,
2842,3489,,
2871,3517,,
2939,3590,,
2971,3629,,
2988,3650,,
2968,3630,71,96
2937,3599,,
2911,3580,,
2866,3531,,
2857,3520,,
2823,3482,,
2787,3439,,
2801,3451,,
2830,3479,,
2895,3545,,
2955,3613,,
3002,3662,,
3050,3712,,
3077,3733,,
3177,3824,,
3313,3970,,
3417,4073,,
3529,4191,,
3606,4268,,
3717,4369,,
3755,4434,,
3636,4335,,
3673,4365,,
4160,4857,,
4959,5681,,
4999,5765,,
4418,5165,,
4418,5165,,
3915,4605,,
3629,4326,,
3284,3981,,
3060,3757,,
2964,3644,,
2972,3639,,
2997,3661,,
3019,3675,,
2948,3605,,
2864,3515,,
2864,3508,,
2849,3490,,
2789,3418,,
2762,3388,,
2756,3376,,
2804,3415,,
2854,3456,,
2924,3510,,
3117,3669,,
3321,3836,,
3441,3939,,
3510,3995,,
3584,4056,,
3656,4115,,
3691,4153,,
3734,4197,,
3760,4217,,
3803,4258,,
3870,4318,,
3917,4362,,
3963,4401,,
3961,4405,,
4013,4450,,
4091,4532,,
4141,4586,,
4208,4650,,
4248,4696,,
4264,4713,,
4279,4731,,
4271,4725,,
4287,4742,,
4298,4756,,
4313,4773,,
4347,4810,,
4373,4836,,
4406,4867,,
4425,4891,,
4421,4888,,
4439,4909,,
4449,4920,,
4467,4940,,
4454,4934,,
4433,4912,,
4428,4908,,
4409,4892,,
4411,4893,,
4417,4901,,
4416,4900,,
4424,4910,,
4405,4894,,
4438,4928,,
4520,5020,,
4681,5194,,
4866,5390,,
4971,5496,,
5043,5559,,
5097,5620,,
5130,5650,,
5155,5674,,
5163,5685,,
5196,5706,,
5222,5741,,
5241,5759,,
5264,5782,,
5269,5788,,
5281,5796,,
5298,5820,,
5298,5820,,
5312,5833,,
5349,5863,,
5369,5889,,
5396,5917,,
5427,5950,,
5429,5952,,
5450,5971,,
5461,5985,,
5478,6000,,
5509,6038,,
5521,6048,,
5544,6067,,
5553,6081,,
5553,6078,,
5579,6107,,
5592,6120,,
5611,6139,,
5623,6153,,
5628,6153,,
5637,6165,,
5634,6162,,
5643,6173,,
5650,6183,,
5658,6188,,
5687,6215,,
5694,6225,,
5710,6241,,
5705,6236,,
5699,6227,,
5713,6237,,
5710,6241,,
5726,6251,,
5725,6252,,
5726,6252,,
5732,6259,,
5729,6257,,
5744,6269,,
5751,6275,,
5757,6283,,
5769,6297,,
5778,6305,,
5789,6316,,
